datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,humidity,precip,precipprob,precipcover,snow,windspeed,winddir,visibility,uvindex,sunrise,sunset,conditions,description,icon
3/23/2018,10.5,2.2,5.9,10.5,-1.3,4.5,47.7,0,0,0,0.9,14.7,291.6,16,9,3/23/2018 6:54:20 AM,3/23/2018 7:11:23 PM,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day
3/24/2018,11.6,2.2,6.6,11.6,-0.6,5.2,40.1,0,0,0,0,14.6,290.4,16,9,3/24/2018 6:52:41 AM,3/24/2018 7:12:27 PM,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
3/25/2018,7.1,2.1,4.6,4.1,-2.2,1.1,56,0,0,0,0,13,44.1,16,6,3/25/2018 6:51:02 AM,3/25/2018 7:13:30 PM,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
3/26/2018,9.9,1,4.8,7.3,-2.1,1.4,54.3,0,0,0,0,23.7,59.1,16,8,3/26/2018 6:49:22 AM,3/26/2018 7:14:33 PM,Clear,Clear conditions throughout the day.,clear-day
3/27/2018,6.6,2.2,4.2,4.8,-1.7,1.6,56.2,0,0,0,0,20.1,80.7,16,5,3/27/2018 6:47:43 AM,3/27/2018 7:15:37 PM,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
3/28/2018,9.4,3.4,6.3,9,0.2,4.7,81.2,0.757,100,29.17,0,16.3,251.5,15.2,4,3/28/2018 6:46:04 AM,3/28/2018 7:16:40 PM,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain
3/29/2018,10.1,8.4,9,10.1,5.6,8.2,89.2,0.277,100,16.67,0,18,48.9,10.5,2,3/29/2018 6:44:25 AM,3/29/2018 7:17:43 PM,"Rain, Overcast",Cloudy skies throughout the day with rain in the morning and afternoon.,rain
3/30/2018,15,7.9,10.8,15,5.9,10.3,80.3,0.743,100,16.67,0,16.6,55.3,14.9,5,3/30/2018 6:42:46 AM,3/30/2018 7:18:46 PM,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain
3/31/2018,12.9,4.3,8,12.9,1.4,6.5,41.7,0.464,100,8.33,0,21.7,267.2,15.9,9,3/31/2018 6:41:07 AM,3/31/2018 7:19:49 PM,Rain,Clear conditions throughout the day with rain.,rain
4/1/2018,15,6.7,10.2,15,4.3,9.1,49.1,0,0,0,0,16.3,267.2,15.9,5,4/1/2018 6:39:29 AM,4/1/2018 7:20:52 PM,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
4/2/2018,7.2,1.1,4.1,4.8,-4.1,0.7,71.3,1.737,100,37.5,0.4,22.4,39.8,15.3,4,4/2/2018 6:37:51 AM,4/2/2018 7:21:54 PM,"Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow.,snow
